product_id,product_sku,product_parent_sku,product_price,product_name,product_desc,product_s_desc,category_name,mf_name,file_url,file_url_thumb,product_weight,product_weight_uom,product_length,product_width,product_height,product_lwh_uom,related_products,variant_type,variant_value,product_special
,BCCB2,BCCB2,177.95,Maxam&reg; 16&quot; Trolley Briefcase and Computer Bag,"Features multiple zippered compartments, padded pocket for laptop, 1680D nylon and PVC construction and telescoping trolley handle. Measures 16&quot; x 15&quot; x 9&quot;.","16"" TROLLEY BFCASE / COMP BAG",Luggage/Briefcases;Luggage,MF Name,BCCB2/BCCB2_400.jpg,BCCB2/BCCB2_125.jpg,6.45,lbs,16.5,8,15,in,,,,Y
,BCLBC,BCLBC,50.95,Maxam&reg; Brand Italian Mosaic&trade; Design Genuine Leather Briefcase,"Features exterior, zippered pockets on both sides. One side holds important letter size papers for those professional presentations. The other side boasts a full size, zippered pocket as well as two smaller pockets for holding your wallet, phone, car keys",LEATHER BRIEFCASE,Luggage/Briefcases;Luggage,MF Name,BCLBC/BCLBC_400.jpg,BCLBC/BCLBC_125.jpg,2.15,lbs,16.5,13.5,1.5,in,,,,Y
,BCLBCCH,BCLBCCH,89.95,Embassy&trade; Solid Genuine Leather Portfolio/Briefcase,"Features zippered main compartment, multiple pockets with zippered closure, padded hand straps, and a removable, adjustable shoulder strap. Measures 16-1/2&rdquo; x 13&rdquo; x 3-1/2&rdquo;.  ",SOLID LEATHER PORTFOLIO BC,Luggage/Briefcases;Luggage,MF Name,BCLBCCH/BCLBCCH_400.jpg,BCLBCCH/BCLBCCH_125.jpg,2.4,lbs,16,14,1.5,in,,,,Y
,BCLBCCH2,BCLBCCH2,107.95,Embassy&trade; Solid Genuine Leather Portfolio/Briefcase with Gun Holster,"Features full length zippered main compartment with three interior compartments, carrying handles, adjustable shoulder strap, concealed gun holster, five exterior pockets, and three interior pockets. Measures 9-1/2&quot; x 5&quot; x 18-1/2&quot;.",LTH PORTFOLIO BC W GUN HOLSTER,Luggage/Briefcases;Luggage,MF Name,BCLBCCH2/BCLBCCH2_400.jpg,BCLBCCH2/BCLBCCH2_125.jpg,2.65,lbs,17,13.5,1.5,in,,,,Y
,BCLMS,BCLMS,36.95,Maxam&reg; Italian Mosaic&trade; Design Genuine Leather Messenger Style Attach&eacute; Case,"Features multiple pockets, silver tone hardware, and removable/adjustable shoulder strap. Measures 16-1/2&quot; x 11-1/4&quot; x 4-1/4&quot;. ",LEATHER MESSENGER STYLE CASE,Luggage/Briefcases;Luggage,MF Name,BCLMS/BCLMS_400.jpg,BCLMS/BCLMS_125.jpg,1.35,lbs,18,13,1,in,,,,Y
,BCPILOT,BCPILOT,116.95,Embassy&trade; Sample/Pilot Case,"Features PVC matte black exterior, gunmetal combination locks, carrying handle, two exterior pockets, interior dividers, interior pockets and pen holders. Measures 18&quot; x 13&quot; x 8&quot;.","18"" SAMPLE / PILOT CASE",Luggage/Briefcases;Luggage,MF Name,BCPILOT/BCPILOT_400.jpg,BCPILOT/BCPILOT_125.jpg,5.7,lbs,18,8.75,13,in,,,,Y
,BCPILOT2,BCPILOT2,161.95,Embassy&trade; Sample/Pilot Case with Trolley,"Features PVC matte black exterior, rolling wheels, gunmetal combination locks, carrying handle, two exterior side pockets, interior dividers, interior pockets and pen holders. Measures 18&quot; x 13&quot; x 8&quot;.","18""SAMPLE/PILOT CASE W TROLLEY",Luggage/Briefcases;Luggage,MF Name,BCPILOT2/BCPILOT2_400.jpg,BCPILOT2/BCPILOT2_125.jpg,7.5,lbs,18,8,13,in,,,,Y
,BCPILOT3,BCPILOT3,200.95,Embassy&trade; Sample/Pilot Case with Aluminum Trolley,"Features PVC matte black exterior, rolling wheels, gunmetal combination locks, carrying handle, two exterior pockets, interior dividers, interior pockets and pen holders. Measures 19&quot; x 14&quot; x 9&quot;.","19"" SAMPLE /PLT CASE W AL TROL",Luggage/Briefcases;Luggage,MF Name,BCPILOT3/BCPILOT3_400.jpg,BCPILOT3/BCPILOT3_125.jpg,8.7,lbs,19,9.5,14,in,,,,Y
,BKNVBF1L,BKNVBF1,41.95,Classic Style Novelty Hat,"Features gloss black exterior, matte black flames, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",CLASSC NVLTY HAT BLK FLAMES-LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBF1/BKNVBF1_400.jpg,BKNVBF1/BKNVBF1_125.jpg,1,lbs,11,8,5,in,,Size,Large,Y
,BKNVBF8L,BKNVBF8,41.95,Embossed Flame Novelty Hat,"Features matte black exterior, matte black flames, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",FLAME NOVELTY HAT BLK / BLK-LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBF8/BKNVBF8_400.jpg,BKNVBF8/BKNVBF8_125.jpg,0.6,lbs,9.5,7,5,in,BKNVBO7;BKNVGB1;BKNVBF1L,Size,Large,Y
,BKNVBF8M,BKNVBF8,41.95,Embossed Flame Novelty Hat,"Features matte black exterior, matte black flames, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",FLAME NOVELTY HAT BLK / BLK-MD,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBF8/BKNVBF8_400.jpg,BKNVBF8/BKNVBF8_125.jpg,1.1,lbs,9.5,7.5,5,in,BKNVBO7;BKNVGB1;BKNVBF1L,Size,Medium,Y
,BKNVBF8XL,BKNVBF8,41.95,Embossed Flame Novelty Hat,"Features matte black exterior, matte black flames, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",FLAME NOVELTY HAT BLK / BLK-XL,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBF8/BKNVBF8_400.jpg,BKNVBF8/BKNVBF8_125.jpg,0.6,lbs,10,7,4,in,BKNVBO7;BKNVGB1;BKNVBF1L,Size,Extra Large,Y
,BKNVBO7L,BKNVBO7,47.95,German Style Novelty Hat,"Features matte black faux leather exterior with orange stripe, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",GRMN NVLTY HAT  BLK / ORG / LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBO7/BKNVBO7_400.jpg,BKNVBO7/BKNVBO7_125.jpg,1.3,lbs,11,9,5,in,BKNVGB1;BKNVBO7;BKNVBF9,Size,Extra Large,Y
,BKNVBO7M,BKNVBO7,47.95,German Style Novelty Hat,"Features matte black faux leather exterior with orange stripe, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",GRMN NVLTY HAT  BLK / ORG / MD,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBO7/BKNVBO7_400.jpg,BKNVBO7/BKNVBO7_125.jpg,1.3,lbs,11,9.25,6,in,BKNVGB1;BKNVBO7;BKNVBF10,Size,Large,Y
,BKNVBO7XL,BKNVBO7,47.95,German Style Novelty Hat,"Features matte black faux leather exterior with orange stripe, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",GRMN NVLTY HAT  BLK / ORG / XL,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBO7/BKNVBO7_400.jpg,BKNVBO7/BKNVBO7_125.jpg,1.3,lbs,11,9.5,6.5,in,BKNVGB1;BKNVBO7;BKNVBF11,Size,Large,Y
,BKNVBP7L,BKNVBP7,46.95,German Style Novelty Hat,"Features matte black faux leather exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",GRMN NVLTY HAT  BLK COVER / LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVBP7/BKNVBP7_400.jpg,BKNVBP7/BKNVBP7_125.jpg,1.3,lbs,11,9,5.5,in,BKNVGB1;BKNVBO7;BKNVBF12,Size,Medium,Y
,BKNVGB1L,BKNVGB1,39.95,Classic Style Novelty Hat,"Features gloss black exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",CLASSC NVLTY HAT GLOSS BLK-LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVGB1/BKNVGB1_400.jpg,BKNVGB1/BKNVGB1_125.jpg,1.1,lbs,11,8,5,in,BKNVBF8;BCPILOT3;BCLBCCH3,Size,Large,Y
,BKNVGB1M,BKNVGB1,39.95,Classic Style Novelty Hat,"Features gloss black exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",CLASSC NVLTY HAT GLOSS BLK-MD,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVGB1/BKNVGB1_400.jpg,BKNVGB1/BKNVGB1_125.jpg,1,lbs,11,8,5,in,BKNVBF8;BCPILOT3;BCLBCCH4,Size,Medium,Y
,BKNVGB1XL,BKNVGB1,39.95,Classic Style Novelty Hat,"Features gloss black exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",CLASSC NVLTY HAT GLOSS BLK-XL,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVGB1/BKNVGB1_400.jpg,BKNVGB1/BKNVGB1_125.jpg,1,lbs,11,8,5,in,BKNVBF8;BCPILOT3;BCLBCCH5,Size,Extra Large,Y
,BKNVGB4L,BKNVGB4,36.95,Skull Cap Novelty Hat,"Features gloss black exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",SKUL CAP NVLTY HAT GLOS BLK-LG,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVGB4/BKNVGB4_400.jpg,BKNVGB4/BKNVGB4_125.jpg,0.8,lbs,9.5,8,4,in,,Size,Large,Y
,BKNVGB4M,BKNVGB4,36.95,Skull Cap Novelty Hat,"Features gloss black exterior, interior lining, and quick release fastener. WARNING: This novelty hat is NOT intended to be used as a safety helmet, motorcycle helmet or for head protection of any kind. Not D.O.T. approved.",SKUL CAP NVLTY HAT GLOS BLK-MD,Motorcycle/Novelty Hats;Helmets,MF Name,BKNVGB4/BKNVGB4_400.jpg,BKNVGB4/BKNVGB4_125.jpg,0.3,lbs,9,7,5,in,,Size,Medium,Y
